Topic Id,Name,AccCount
0,Pytorch,342
1,Estimating parameters,457
2,Graph plotting,310
3,Numpy ,625
4,Importing Data,350
5,Scikit,326
6,Reinforcement learning,317
8,Rating and Ranking applications,322
9,Spark,355
10,Caffe,263
11,Neural networks,938
12,Installations,365
13,Classification,590
14,Data Normalization,495
15,Caret,542
16,Epoch,328
17,Gradient descent,504
18,Sentiment analysis,666
19,Keras,826
20,ML Performance,449
22,Azure-Sql-Google,517
24,Tensorflow graphs,630
25,Natural Language Processing,287
26,String manipulation techniques,225
27,Feature Selection,453
28,Convolutional Neural Net,577
29,Loss Function,358
30,LSTM,404
32,Tensorflow,132
33,Classifier,367
34,date and time manipulation,375
35,numpy panda sklearn,672
36,Image processing,711
37,Error and accuracy,528
38,Svm,427
39,Machine learning model,386
41,Ethnicity,210
42,Algorithms,2868
43,Training dataset,1435
44,Code Errors,3057
45,Anaconda,329
46,Clustering,618
48,Feature Classification,2661
49,Handling dataframes,413
